time_window_days,domain,model,seed,metric,value,crime_group,date_bucket,slice
7,chicago_2025,lstm,2,f1,0.7199999999999999,,2025-09,temporal
7,chicago_2025,lstm,2,f1,0.6511627906976744,,2025-10,temporal
7,chicago_2025,lstm,2,f1,0.2857142857142857,,2025-11,temporal
7,chicago_2025,lstm,2,f1,0.28571428571428575,,2025-12,temporal
7,chicago_2025,random_forest,2,f1,0.0,,2024-12,temporal
7,chicago_2025,random_forest,2,f1,0.47058823529411764,,2025-01,temporal
7,chicago_2025,random_forest,2,f1,0.5454545454545454,,2025-02,temporal
7,chicago_2025,random_forest,2,f1,0.48,,2025-03,temporal
7,chicago_2025,random_forest,2,f1,0.7727272727272727,,2025-04,temporal
7,chicago_2025,random_forest,2,f1,0.8070175438596491,,2025-05,temporal
7,chicago_2025,random_forest,2,f1,0.888888888888889,,2025-06,temporal
7,chicago_2025,random_forest,2,f1,0.8767123287671234,,2025-07,temporal
7,chicago_2025,random_forest,2,f1,0.7333333333333334,,2025-08,temporal
7,chicago_2025,random_forest,2,f1,0.8125000000000001,,2025-09,temporal
7,chicago_2025,random_forest,2,f1,0.75,,2025-10,temporal
7,chicago_2025,random_forest,2,f1,0.5263157894736842,,2025-11,temporal
7,chicago_2025,random_forest,2,f1,0.6666666666666666,,2025-12,temporal
7,nibrs,baseline_persistence,2,f1,0.9,,2024-01,temporal
7,nibrs,baseline_persistence,2,f1,0.9542483660130718,,2024-02,temporal
7,nibrs,baseline_persistence,2,f1,0.9559748427672956,,2024-03,temporal
7,nibrs,baseline_persistence,2,f1,0.9253731343283583,,2024-04,temporal
7,nibrs,baseline_persistence,2,f1,0.96,,2024-05,temporal
7,nibrs,baseline_persistence,2,f1,0.9673202614379085,,2024-06,temporal
7,nibrs,baseline_persistence,2,f1,0.9533678756476685,,2024-07,temporal
7,nibrs,baseline_persistence,2,f1,0.948051948051948,,2024-08,temporal
7,nibrs,baseline_persistence,2,f1,0.9435897435897437,,2024-09,temporal
7,nibrs,baseline_persistence,2,f1,0.9403973509933775,,2024-10,temporal
7,nibrs,baseline_persistence,2,f1,0.9496402877697843,,2024-11,temporal
7,nibrs,baseline_persistence,2,f1,0.8617886178861789,,2024-12,temporal
7,nibrs,logistic_regression,2,f1,0.5384615384615384,,2024-01,temporal
7,nibrs,logistic_regression,2,f1,0.45999999999999996,,2024-02,temporal
7,nibrs,logistic_regression,2,f1,0.4313725490196079,,2024-03,temporal
7,nibrs,logistic_regression,2,f1,0.4651162790697675,,2024-04,temporal
7,nibrs,logistic_regression,2,f1,0.6363636363636364,,2024-05,temporal
7,nibrs,logistic_regression,2,f1,0.6126126126126126,,2024-06,temporal
7,nibrs,logistic_regression,2,f1,0.5230769230769231,,2024-07,temporal
7,nibrs,logistic_regression,2,f1,0.5740740740740741,,2024-08,temporal
7,nibrs,logistic_regression,2,f1,0.6293706293706294,,2024-09,temporal
7,nibrs,logistic_regression,2,f1,0.5981308411214953,,2024-10,temporal
7,nibrs,logistic_regression,2,f1,0.5416666666666666,,2024-11,temporal
7,nibrs,logistic_regression,2,f1,0.5641025641025641,,2024-12,temporal
7,nibrs,lstm,2,f1,0.5384615384615384,,2024-01,temporal
7,nibrs,lstm,2,f1,0.8153846153846155,,2024-02,temporal
7,nibrs,lstm,2,f1,0.7945205479452054,,2024-03,temporal
7,nibrs,lstm,2,f1,0.5522388059701494,,2024-04,temporal
7,nibrs,lstm,2,f1,0.1895424836601307,,2024-05,temporal
7,nibrs,lstm,2,f1,0.17126269956458637,,2024-06,temporal
7,nibrs,lstm,2,f1,0.16646848989298454,,2024-07,temporal
